goos: darwin
goarch: arm64
pkg: github.com/dan-strohschein/HVJson/hvjson
cpu: Apple M3 Pro
BenchmarkMarshalStruct-12             	 8411948	       127.1 ns/op	     160 B/op	       2 allocs/op
BenchmarkMarshalStruct-12             	 9438976	       128.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkMarshalStruct-12             	 9206283	       128.7 ns/op	     160 B/op	       2 allocs/op
BenchmarkMarshalStruct-12             	 9135626	       127.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkMarshalStruct-12             	 9457096	       126.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkMarshalStruct_StdLib-12      	 8425375	       137.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkMarshalStruct_StdLib-12      	 8655770	       137.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkMarshalStruct_StdLib-12      	 8694331	       138.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkMarshalStruct_StdLib-12      	 8552949	       137.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkMarshalStruct_StdLib-12      	 8646669	       139.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkUnmarshalStruct-12           	 3014803	       395.4 ns/op	     280 B/op	      10 allocs/op
BenchmarkUnmarshalStruct-12           	 3000061	       397.9 ns/op	     280 B/op	      10 allocs/op
BenchmarkUnmarshalStruct-12           	 2945841	       399.3 ns/op	     280 B/op	      10 allocs/op
BenchmarkUnmarshalStruct-12           	 3021490	       399.1 ns/op	     280 B/op	      10 allocs/op
BenchmarkUnmarshalStruct-12           	 3021452	       398.6 ns/op	     280 B/op	      10 allocs/op
BenchmarkUnmarshalStruct_StdLib-12    	 1746208	       697.4 ns/op	     360 B/op	      11 allocs/op
BenchmarkUnmarshalStruct_StdLib-12    	 1735324	       742.7 ns/op	     360 B/op	      11 allocs/op
BenchmarkUnmarshalStruct_StdLib-12    	 1720114	       711.6 ns/op	     360 B/op	      11 allocs/op
BenchmarkUnmarshalStruct_StdLib-12    	 1739523	       687.2 ns/op	     360 B/op	      11 allocs/op
BenchmarkUnmarshalStruct_StdLib-12    	 1740397	       686.0 ns/op	     360 B/op	      11 allocs/op
PASS
ok  	github.com/dan-strohschein/HVJson/hvjson	30.909s
